,o,d,Run,Buckets,issues,l_steps,CI2,n_agents,p
1045,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1043,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1014,0.25,0.7,3,2,3,1500,True,100,0.2
1013,0.25,0.7,3,1,3,1500,True,100,0.2
1012,0.25,0.7,3,1,3,1500,True,100,0.2
1011,0.25,0.7,3,2,3,1500,True,100,0.2
1010,0.25,0.7,3,4,3,1500,True,100,0.2
1009,0.25,0.6,3,2,3,1500,True,100,0.2
1008,0.25,0.7,3,4,3,1500,True,100,0.2
1007,0.25,0.7,3,4,3,1500,True,100,0.2
1006,0.25,0.7,3,4,3,1500,True,100,0.2
1005,0.25,0.7,3,1,3,1500,True,100,0.2
1004,0.25,0.7,3,2,3,1500,True,100,0.2
1003,0.25,0.7,3,4,3,1500,True,100,0.2
1002,0.25,0.7,3,2,3,1500,True,100,0.2
1001,0.25,0.7,3,2,3,1500,True,100,0.2
1000,0.25,0.7,3,4,3,1500,True,100,0.2
999,0.25,0.7,3,1,3,1500,True,100,0.2
998,0.25,0.7,3,1,3,1500,True,100,0.2
997,0.25,0.6499999999999999,3,4,3,1500,True,100,0.2
996,0.25,0.7,3,1,3,1500,True,100,0.2
995,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
994,0.25,0.6499999999999999,3,3,3,1500,True,100,0.2
993,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
992,0.25,0.6499999999999999,3,2,3,1500,True,100,0.2
1015,0.25,0.7,3,4,3,1500,True,100,0.2
1016,0.25,0.7,3,1,3,1500,True,100,0.2
1017,0.25,0.75,3,2,3,1500,True,100,0.2
1018,0.25,0.75,3,2,3,1500,True,100,0.2
1042,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1041,0.25,0.7999999999999999,3,3,3,1500,True,100,0.2
1040,0.25,0.75,3,3,3,1500,True,100,0.2
1039,0.25,0.75,3,1,3,1500,True,100,0.2
1038,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1037,0.25,0.75,3,1,3,1500,True,100,0.2
1036,0.25,0.75,3,2,3,1500,True,100,0.2
1035,0.25,0.75,3,1,3,1500,True,100,0.2
1034,0.25,0.75,3,1,3,1500,True,100,0.2
1033,0.25,0.75,3,2,3,1500,True,100,0.2
1032,0.25,0.75,3,2,3,1500,True,100,0.2
1044,0.25,0.7999999999999999,3,2,3,1500,True,100,0.2
1031,0.25,0.75,3,3,3,1500,True,100,0.2
1029,0.25,0.75,3,3,3,1500,True,100,0.2
1028,0.25,0.75,3,1,3,1500,True,100,0.2
1027,0.25,0.75,3,2,3,1500,True,100,0.2
1026,0.25,0.75,3,2,3,1500,True,100,0.2
1025,0.25,0.75,3,1,3,1500,True,100,0.2
1024,0.25,0.75,3,1,3,1500,True,100,0.2
1023,0.25,0.6,3,2,3,1500,True,100,0.2
1022,0.25,0.75,3,2,3,1500,True,100,0.2
1021,0.25,0.6,3,2,3,1500,True,100,0.2
1020,0.25,0.7,3,3,3,1500,True,100,0.2
1019,0.25,0.75,3,1,3,1500,True,100,0.2
1030,0.25,0.75,3,2,3,1500,True,100,0.2
881,0.25,0.4,3,2,3,1500,True,100,0.2
1319,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1321,0.35000000000000003,0.4,3,2,3,1500,True,100,0.2
1619,0.4,0.6,3,1,3,1500,True,100,0.2
1618,0.4,0.6,3,1,3,1500,True,100,0.2
1617,0.4,0.55,3,1,3,1500,True,100,0.2
1616,0.4,0.5,3,2,3,1500,True,100,0.2
1615,0.4,0.55,3,1,3,1500,True,100,0.2
1614,0.4,0.55,3,1,3,1500,True,100,0.2
1613,0.4,0.55,3,1,3,1500,True,100,0.2
1612,0.4,0.55,3,3,3,1500,True,100,0.2
1611,0.4,0.55,3,1,3,1500,True,100,0.2
1610,0.4,0.55,3,1,3,1500,True,100,0.2
1609,0.4,0.55,3,1,3,1500,True,100,0.2
1608,0.4,0.5,3,2,3,1500,True,100,0.2
1607,0.4,0.55,3,2,3,1500,True,100,0.2
1606,0.4,0.55,3,1,3,1500,True,100,0.2
1605,0.4,0.55,3,1,3,1500,True,100,0.2
1604,0.4,0.55,3,1,3,1500,True,100,0.2
1603,0.4,0.45,3,3,3,1500,True,100,0.2
1602,0.4,0.55,3,1,3,1500,True,100,0.2
1601,0.4,0.55,3,1,3,1500,True,100,0.2
1600,0.4,0.55,3,1,3,1500,True,100,0.2
1599,0.4,0.5,3,2,3,1500,True,100,0.2
1598,0.4,0.55,3,1,3,1500,True,100,0.2
1597,0.4,0.55,3,1,3,1500,True,100,0.2
1620,0.4,0.6,3,1,3,1500,True,100,0.2
1621,0.4,0.6,3,1,3,1500,True,100,0.2
1622,0.4,0.6,3,1,3,1500,True,100,0.2
1623,0.4,0.6,3,1,3,1500,True,100,0.2
1647,0.4,0.6499999999999999,3,1,3,1500,True,100,0.2
